ID_Vendedor,Nombre,Apellido,Telefono,Estado_Civil,Edad,Salario,ID_supervisor
1,ANTONIO,SANCHEZ,52-3519683,Soltero,25,40693,21
2,MANUEL,ADELA,52-6505990,Casado,34,28245,21
3,JOSE,MARTINEZ,52-3499058,Casado,45,43797,21
4,FRANCISCO,CARRASCO,52-9555367,Soltero,52,23299,21
5,DAVID,CUEVAS,52-3519737,Casado,41,27574,21
6,JUAN,FERRERO,52-4517685,Soltero,30,31639,21
7,JOSE ANTONIO,MADERO,52-6564888,Soltero,29,17938,21
8,JAVIER,LEON,52-8874444,Soltero,38,36118,21
9,DANIEL,HERNANDEZ,52-5565477,Casado,37,33192,32
10,JOSE LUIS,MARTINEZ,52-8018628,Soltero,44,20931,9
11,FRANCISCO JAVIER,GARCIA,52-6934824,Casado,47,34525,9
12,CARLOS,FERNANDEZ,52-7116464,Soltero,33,23888,9
13,JESUS,PEREZ,52-6594876,Soltero,53,19252,9
14,ALEJANDRO,JIMENEZ,52-7854595,Soltero,38,40973,9
15,MIGUEL,RUIZ,52-4680206,Casado,26,33489,9
16,MARIA DOLORES,SAENZ,52-6736893,Casado,55,29563,9
17,LAURA,GONZALEZ,52-7180322,Soltero,25,26488,9
18,MARIA TERESA,LOPEZ,52-5697896,Casado,34,43909,9
19,ANA,GOMEZ,52-5074633,Casado,45,41839,9
20,CRISTINA,RODRIGUEZ,52-5686768,Soltero,52,24468,9
21,MARTA,MORENO,52-8947068,Soltero,41,56000,32
22,MARIA ANGELES,ALONSO,52-6002934,Soltero,30,31385,9
23,FRANCISCA,PASCUAL,52-9055637,Casado,29,26106,9
24,LUCIA,GUTIERREZ,52-7974272,Soltero,38,40709,9
25,MARIA ISABEL,GIL,52-7343501,Soltero,37,44213,9
26,MARIA JOSE,DIAZ,52-8700147,Soltero,33,30210,9
27,ANTONIA,MARIN,52-7486806,Soltero,43,31272,9
28,DOLORES,EZQUERRO,52-7313181,Casado,37,18052,21
29,ALVARO,RUBIO,52-6616580,Soltero,44,21216,21
30,ADRIAN,SANCHEZ,52-9113674,Casado,37,33019,21
31,JUAN JOSE,CALVO,52-6487633,Soltero,56,35510,21
32,DIEGO,SAEZ,52-4355342,Casado,50,16786,
33,MARIA VICTORIA,IBANEZ,52-4389266,Soltero,38,27934,21
34,EVA MARIA,BLANCO,52-8364603,Soltero,56,35991,21
35,INES,GARRIDO,52-5023604,Casado,36,34816,21
36,MIRIAM,GUTIERREZ,52-4159394,Soltero,27,38620,21
37,MARIA ROSA,ALVAREZ,52-5591171,Soltero,25,43099,21
38,DANIELA,PALACIOS,52-4612412,Soltero,43,42704,21
39,LORENA,MUNOZ,52-9453091,Casado,26,41778,21
40,ANA BELEN,SANTAMARIA,52-8331445,Casado,60,30063,21
41,MARIA ELENA,BENITO,52-7174212,Casado,59,39036,21
42,JUAN MANUEL,RAMIREZ,52-8754064,Soltero,29,44484,21
43,JOAQUIN,OCHOA,52-7913645,Casado,49,44189,21
44,SANTIAGO,DIAZ,52-4165349,Casado,55,31119,21
45,VICTOR,ORTEGA,52-8199111,Soltero,39,27905,21
46,EDUARDO,HERCE,52-6554714,Soltero,51,16612,21
47,MARIO,LEON,52-7467787,Casado,31,38368,21
48,ROBERTO,MARTIN,52-5893946,Casado,27,18283,21
49,JAIME,GABARRI,52-8454005,Casado,27,34054,21
