ID_Venta,Fecha_venta,ID_producto,ID_Zona,Venta,ID_Vendedor,ID_Cliente,Nombre_cliente,Direccion_cliente,Pais_cliente,Telefono_cliente,Clasificacion_credito,Producto,Zona_venta,Apellido_Vendedor,Nombre_vendedor,Edad_vendedor,Estado_civil_vendedor,Salario_vendedor,Telefono_vendedor,Fecha_de_venta,Anio_de_venta,Dia_de_venta,Mes_de_venta,Nombre_dia,Nombre_mes,Trimestre
1,29/12/2015 0:00,1,1,2133903,42,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Terreno,Norte,RAMIREZ,JUAN MANUEL,29,Soltero,44484,52-8754064,29/12/2015,2015,29,12,Martes,Diciembre,4
2,29/12/2015 0:00,2,2,1945424,5,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Oficina,Oeste,CUEVAS,DAVID,41,Casado,27574,52-3519737,29/12/2015,2015,29,12,Martes,Diciembre,4
3,29/12/2015 0:00,3,2,712416,20,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Local,Oeste,RODRIGUEZ,CRISTINA,52,Soltero,24468,52-5686768,29/12/2015,2015,29,12,Martes,Diciembre,4
4,30/12/2015 0:00,1,2,1815450,30,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Terreno,Oeste,SANCHEZ,ADRIAN,37,Casado,33019,52-9113674,30/12/2015,2015,30,12,Mi rcoles,Diciembre,4
5,30/12/2015 0:00,4,3,1138024,41,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Nave,Centro,BENITO,MARIA ELENA,59,Casado,39036,52-7174212,30/12/2015,2015,30,12,Mi rcoles,Diciembre,4
6,31/12/2015 0:00,5,2,953156,18,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Isla,Oeste,LOPEZ,MARIA TERESA,34,Casado,43909,52-5697896,31/12/2015,2015,31,12,Jueves,Diciembre,4
7,31/12/2015 0:00,1,3,406686,36,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Terreno,Centro,GUTIERREZ,MIRIAM,27,Soltero,38620,52-4159394,31/12/2015,2015,31,12,Jueves,Diciembre,4
8,31/12/2015 0:00,3,2,2158475,21,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Local,Oeste,MORENO,MARTA,41,Soltero,56000,52-8947068,31/12/2015,2015,31,12,Jueves,Diciembre,4
9,01/01/2016 0:00,6,1,1024380,13,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Consultorio,Norte,PEREZ,JESUS,53,Soltero,19252,52-6594876,01/01/2016,2016,1,1,Viernes,Enero,1
10,01/01/2016 0:00,1,1,2042768,43,7,The LandLord,Calle Aviacion 65,Uruguay,598-675552,CC,Terreno,Norte,OCHOA,JOAQUIN,49,Casado,44189,52-7913645,01/01/2016,2016,1,1,Viernes,Enero,1
11,01/01/2016 0:00,3,2,627068,5,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Local,Oeste,CUEVAS,DAVID,41,Casado,27574,52-3519737,01/01/2016,2016,1,1,Viernes,Enero,1
12,01/01/2016 0:00,5,2,999328,30,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Isla,Oeste,SANCHEZ,ADRIAN,37,Casado,33019,52-9113674,01/01/2016,2016,1,1,Viernes,Enero,1
13,01/01/2016 0:00,1,4,2937300,28,5,Honduland,Avenida Gobernador 874,Honduras,,B,Terreno,Sur,EZQUERRO,DOLORES,37,Casado,18052,52-7313181,01/01/2016,2016,1,1,Viernes,Enero,1
14,01/01/2016 0:00,2,3,664700,15,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Oficina,Centro,RUIZ,MIGUEL,26,Casado,33489,52-4680206,01/01/2016,2016,1,1,Viernes,Enero,1
